name,tel,address
2117,和平東門市,台北市大安區和平東路二段78號
2026,南昌門市,台北市中正區南昌路二段206號
2136,新生門市,台北市中正區新生南路一段102號
2022,重慶門市,台北市大同區重慶北路二段100-106號
2002,酒泉門市,台北市大同區酒泉街111、113、115號
2090,北安門市,台北市中山區北安路577號
2180,民權門市,台北市中山區民權東路二段73號
2134,建國二門市,台北市中山區建國北路二段123號
2011,八德一門市,台北市松山區八德路三段103號
2169,台北三民門市,台北市松山區三民路27號
2025,民生門市,台北市松山區民生東路五段72號
2028,南京門市,台北市松山區南京東路五段46號
2139,復興北門市,台北市松山區復興北路331號
2154,信義二門市,台北市大安區信義路二段251號
2029,樂業門市,台北市大安區樂業街152號
2185,通化門市,台北市通化街91號1樓2樓2樓之一
2020,中華二門市,台北市萬華區中華路二段436號
2095,西園門市,台北市萬華區西園路二段243-1號
2003,萬大門市,台北市萬華區萬大路239、241、243號
2171,信義六門市,"台北市信義區信義路六段21,23號"
2150,莊敬門市,台北市信義區莊敬路473號1-2樓
2186,中山北門市,台北市士林區中山北路六段278號
2110,士林門市,台北市士林區文林路448號
2140,社子門市,台北市士林區延平北路五段250.252號
2167,天母北門市,台北市天母北路14號1-4樓
2116,德行東門市,台北市士林區德行東路226號
2070,北投一門市,台北市北投區中央北路一段138號1F
2143,北投中和門市,台北市北投區中和街221號
2181,北投站前門市,台北市北投區北投路二段13號B1
2063,石牌門市,台北市北投區石牌路一段79、81號
2175,內湖成功門市,台北市內湖區成功路三段158號
2012,東湖門市,台北市內湖區東湖路84號
2170,東湖康寧門市,台北市內湖區康寧路三段37號一樓35號一樓、23號二樓之9
2130,成福門市,台北市南港區成福路4號
2013,忠孝二門市,台北市南港區忠孝東路五段984號
2184,木柵門市,台北市文山區木柵路三段80號1樓
2093,木新門市,台北市文山區木新三段180 號
2142,辛亥門市,台北市文山區辛亥路五段19號(前棟)
2128,景美門市,台北市文山區景興路217號
2152,仁一門市,基隆市仁一路179號
2091,仁二二門市,基隆市仁愛區仁二路211號
2149,基隆義二門市,基隆市義二路78、80號
2014,安一門市,基隆市中山區安一路17號
2156,安樂門市,基隆市安樂路二段141號
2174,基隆七堵門市,基隆市七堵區明德一路58號及60號
2113,永平門市,新北市永和區中山路一段136號
2046,埔墘門市,新北市板橋區中山路二段245號1F
2052,板橋館門市,新北市板橋區文化路一段90號1F
2161,板橋忠孝門市,新北市板橋區忠孝路42號、42之1號、44號、44之1號
2163,數位家電體驗館-樹林館門市,新北市板橋區溪北路2號1-2樓
2118,新海門市,新北市板橋區新海路92號
2132,雙十門市,新北市板橋區雙十路二段108號
2164,數位家電體驗館-汐止館門市,新北市汐止區大同路二段240號
2137,汐止中興門市,新北市汐止區中興路145號
2151,瑞芳門市,新北市瑞芳區明燈路三段63號1樓
2077,新店中正門市,新北市新店區中正路188號
2148,北新三門市,新北市新店區北新路一段335號1-2樓
2107,安康二門市,新北市新店區安康路二段196之２號1樓
2179,數位家電體驗館-永和館門市,新北市永和區中正路298、300號
2160,永和二門市,新北市永和區永和路一段122號
2049,竹林門市,新北市永和區竹林路100號
2058,得和門市,新北市永和區得和路403號
2056,中山門市,新北市中和區中山路3段185號
2168,中和二門市,新北市中和區中和路167號1樓
2138,中和員山門市,新北市中和區員山路202.204號
2092,景新門市,新北市中和區景新街438號
2159,中和圓通門市,新北市中和區圓通路295之3號
2047,土城門市,新北市土城區中央路二段71-75號
2135,金城二門市,新北市土城區金城路三段180號
2165,土城學府門市,新北市土城區學府路一段93、95號1-2樓
2182,三峽北大門市,新北市三峽區大學路125號
2129,三峽民生門市,新北市三峽區民生街106-2號
2055,三峽門市,新北市三峽區復興路78號
2183,樹林中山門市,"新北市樹林區中山路一段153號155號,155號2F-1 ,155號2F-2"
3040,鶯歌門市,新北市鶯歌區國慶街１２３號1-2樓
2037,三和門市,新北市三重區三和路四段147號1F
2030,自強門市,新北市三重區正義北路137號
2155,三重忠孝門市,新北市三重區忠孝路二段160號
2035,重陽門市,新北市三重區重陽路二段一號1F
2147,重新二門市,新北市三重區重新路三段36號1-2樓
2172,數位家電體驗館-新莊館門市,新北市新莊區中平路20號
2177,新莊中正門市,新北市新莊區中正路250、252號
2112,丹鳳門市,新北市新莊區中正路881-5號
2173,新莊化成門市,新北市新莊區化成路253、255、257號
2166,新莊民安門市,新北市新莊區民安西路135號1樓
2106,幸福門市,新北市新莊區幸福路602-604號
2111,建安門市,"新北市新莊區建安街117,119號"
2036,後港門市,新北市新莊區後港一路62號1F
2033,泰山門市,新北市泰山區明志路一段354號
3085,數位家電體驗館-林口館門市,新北市林口區文化二路一段90-1號
3088,林口仁愛門市,新北市林口區仁愛路2段110號
2038,三民門市,新北市蘆洲區三民路10-1、12-1號
2114,長榮門市,新北市蘆洲區長榮路23號
2041,五股門市,新北市五股區工商路72號1、2樓
2176,淡水新鎮門市,新北市淡水區中山北路一段305號
2067,淡水門市,新北市淡水區中山路127號
2145,竹圍門市,新北市淡水區民生路1-1號
3035,新竹中正門市,新竹市中正路388 號
3048,竹科門市,新竹市光復路１段５２６號１、２樓
3082,林森門市,新竹市林森路230號
3075,數位家電體驗館-牛埔館門市,新竹市香山區牛埔路102號1樓
3063,新竹南大門市,新竹市南大路361號
3084,新竹食品二門市,新竹市食品路247號一樓
3083,湳雅門市,新竹市湳雅街89號1樓
3018,新竹經國門市,新竹市經國路一段450號
3025,竹北中正東門市,新竹縣竹北市中正東路275號
3073,數位家電體驗館-竹北館門市,新竹縣竹北市自強南路138號
3065,竹北博愛門市,新竹縣竹北市博愛街322號
3044,新竹湖口門市,新竹縣湖口鄉中正路一段68號
3054,新竹新豐門市,新竹縣新豐鄉建興路一段83號
3052,新埔門市,新竹縣新埔鎮中正路５３９號１樓
3060,竹東二門市,新竹縣竹東鎮長春路二段97-99號
3022,竹東長春門市,新竹縣竹東鎮長春路三段193號
3045,中壢中原門市,桃園市中壢區中山東路２段７２至76號
3079,內壢二門市,桃園市中壢區成章一街160號
3028,中壢內壢門市,桃園市中壢區榮民路128號1F
3053,龍岡門市,桃園市中壢區龍東路３０９之１號
3008,中壢環北門市,桃園市中壢區環北路546號1F
3080,數位家電體驗館-中豐館門市,桃園市平鎮區中豐路298號1樓
3055,環南門市,桃園市平鎮區環南路２９９號
3058,山仔頂門市,桃園市平鎮區中豐路山頂段187號
3066,龍潭二門市,桃園市龍潭區中正路302號1~2樓
3021,龍潭中正門市,桃園市龍潭區中正路72號
3056,楊梅大成門市,桃園市楊梅區大成路89號1~2樓
3038,楊梅中山門市,桃園市楊梅區中山路80號1F
3020,埔心永美門市,桃園市楊梅區永美路199號
3046,新屋門市,桃園市新屋區中山路262至264號
